"code","number","edition","character","series","quality","obtainedDate","obtainedTimestamp","burnValue","dye.code","dye.name","frame","morphed","trimmed","tag","alias","wishlists","fights","dropQuality","dropper","grabber","guild","worker.effort","worker.style","worker.purity","worker.grabber","worker.dropper","worker.quickness","worker.toughness","worker.vanity","worker.recoveryDate","worker.recoveryTimestamp"
"cgvw3g","48619","1","Yuuko Kanda","The Pet Girl of Sakurasou","2","Thu, 16 Feb 2023 17:24:38 GMT","1676568278494","10","","","","No","No","b","","1","0","2","375842448209084417","375842448209084417","707706551829397565","6","F","S","S","S","S","F","D","",""
"c3l4j5","48863","1","Mo Qingxian","Vocaloid China Project Senden Animation","3","Thu, 16 Feb 2023 09:38:01 GMT","1676540281402","19","","","","No","No","","","1","0","3","375842448209084417","375842448209084417","707706551829397565","13","F","S","S","S","S","F","D","",""
"c3fwjx","40306","1","Louise","Whisper of the Heart","3","Thu, 16 Feb 2023 07:35:37 GMT","1676532937223","13","","","","No","No","b","","1","0","3","375842448209084417","375842448209084417","707706551829397565","6","F","S","S","S","A","F","D","",""
"c3pr74","48879","1","Raki Kiseki","Aikatsu on Parade!","3","Thu, 16 Feb 2023 03:12:52 GMT","1676517172415","8","","","","No","No","b","","0","0","3","375842448209084417","375842448209084417","707706551829397565","4","F","S","S","S","A","F","D","",""
"c312fz","136","5","Kougyoku Ren","Magi: The Kingdom of Magic","0","Thu, 16 Feb 2023 01:09:34 GMT","1676509774057","20","","","","No","No","","","22","0","0","375842448209084417","375842448209084417","707706551829397565","13","F","S","S","S","S","F","D","",""
"c3jx4l","27187","2","Diva","Blood+","0","Thu, 16 Feb 2023 00:09:26 GMT","1676506166187","5","","","","No","No","b","","5","0","0","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","S","F","D","",""
"c3j4pn","38","5","Satsuki Kusakabe","My Neighbor Totoro","0","Wed, 15 Feb 2023 23:33:43 GMT","1676504023998","21","","","","No","No","","","9","0","0","375842448209084417","375842448209084417","707706551829397565","14","F","S","S","S","B","F","C","",""
"c3hn8g","27709","2","Elsa Bête","Symphogear XV","2","Wed, 15 Feb 2023 18:31:28 GMT","1676485888639","17","","","","No","No","","","1","0","2","375842448209084417","375842448209084417","707706551829397565","8","F","S","S","S","A","F","D","",""
"crd78d","11286","3","Ami Mizuno","Sailor Moon","0","Wed, 15 Feb 2023 11:04:27 GMT","1676459067484","12","","","","No","No","","","30","0","0","375842448209084417","375842448209084417","707706551829397565","5","F","S","S","S","A","F","D","",""
"cpn2xv","1819","2","Takafumi Takaoka","Uncle from Another World","3","Mon, 13 Feb 2023 20:36:29 GMT","1676320589855","69","","","","No","No","","","5","0","3","375842448209084417","375842448209084417","707706551829397565","38","F","S","S","S","A","F","D","",""
"czcj8s","1842","1","Sera Baal","Black Summoner","2","Sun, 12 Feb 2023 08:59:48 GMT","1676192388568","33","","","","No","No","","","38","0","2","375842448209084417","375842448209084417","707706551829397565","18","F","S","S","S","B","F","D","",""
"czv9fm","48627","1","Maria","Mermaid Melody: Pichi Pichi Pitch","0","Sat, 11 Feb 2023 09:59:19 GMT","1676109559053","1","","","","No","No","","","1","0","0","375842448209084417","375842448209084417","707706551829397565","0","F","S","S","S","A","F","D","",""
"c199kr","1318","1","Felsi Rollo","Mobile Suit Gundam: The Witch from Mercury","2","Fri, 10 Feb 2023 23:09:12 GMT","1676070552468","21","","","","No","No","","","1","0","2","375842448209084417","375842448209084417","707706551829397565","13","F","S","S","S","A","F","D","",""
"cns4bg","48560","1","Nancy Lee","Ninja Slayer from Animation","2","Fri, 10 Feb 2023 02:13:54 GMT","1675995234025","13","","","","No","No","","","1","0","2","715594351102656513","375842448209084417","707706551829397565","5","F","S","S","F","F","F","D","",""
"cnd50x","48500","1","Soldier Blue","Toward the Terra","1","Fri, 10 Feb 2023 01:33:54 GMT","1675992834605","1","","","","No","No","","","1","0","1","375842448209084417","375842448209084417","707706551829397565","0","F","S","S","S","A","F","D","",""
"cnd0h0","45224","1","Payom","Zatch Bell!","2","Fri, 10 Feb 2023 00:50:46 GMT","1675990246948","3","","","","No","No","","","0","0","2","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","B","F","D","",""
"cnln2q","47950","1","Monaca","Danganronpa Another Episode: Ultra Despair Girls","3","Thu, 09 Feb 2023 23:28:17 GMT","1675985297856","54","","","","No","No","b","","10","0","3","375842448209084417","375842448209084417","707706551829397565","30","F","S","S","S","A","F","D","",""
"cn9m56","766","2","Shishou","Kino's Journey","3","Thu, 09 Feb 2023 21:10:14 GMT","1675977014310","93","","","","No","No","","","1","0","3","375842448209084417","375842448209084417","707706551829397565","54","F","S","S","S","S","F","C","",""
"cj7vb3","48125","1","Tyranomon","Digimon Adventure","2","Wed, 08 Feb 2023 23:20:52 GMT","1675898452344","6","","","","No","No","","","1","0","2","375842448209084417","375842448209084417","707706551829397565","4","F","S","S","S","S","F","D","",""
"cbddnv","48061","1","Alpha Omega Nova","Space Patrol Luluco","3","Tue, 07 Feb 2023 21:09:24 GMT","1675804164147","8","","","","No","No","","","4","0","3","389229706907484160","375842448209084417","707706551829397565","4","F","S","S","F","D","F","D","",""
"cb45g0","5909","4","Lilith","Combatants Will Be Dispatched!","4","Tue, 07 Feb 2023 10:48:37 GMT","1675766917942","130","","","","No","No","","","1","0","4","375842448209084417","375842448209084417","707706551829397565","74","F","S","S","S","S","F","D","",""
"cbvdz8","5351","4","Higuchi","Heaven's Design Team","2","Mon, 06 Feb 2023 23:17:07 GMT","1675725427984","43","","","","No","No","","","2","0","2","375842448209084417","375842448209084417","707706551829397565","24","F","S","S","S","A","F","D","",""
"c5s7dk","11724","3","Kojuurou Shuri","Masamune-kun's Revenge","2","Mon, 06 Feb 2023 19:27:51 GMT","1675711671120","31","","","","No","No","","","2","0","2","375842448209084417","375842448209084417","707706551829397565","18","F","S","S","S","A","F","D","",""
"c5dszm","14779","3","Sera Eguchi","Saki: Episode of Side A","2","Mon, 06 Feb 2023 18:35:16 GMT","1675708516690","21","","","","No","No","","","0","0","2","790130130567561228","375842448209084417","707706551829397565","10","F","S","S","F","F","F","D","",""
"c5sn26","47974","1","Crystal Pegasus","Kirakira Precure a la Mode","2","Mon, 06 Feb 2023 17:58:01 GMT","1675706281515","5","","","","No","No","","","1","0","2","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","F","F","D","",""
"c5zg0r","47894","1","Yuki Hosokawa","Chio's School Road","4","Mon, 06 Feb 2023 05:36:21 GMT","1675661781210","12","","","","No","No","","","1","0","4","375842448209084417","375842448209084417","707706551829397565","5","F","S","S","S","B","F","D","",""
"c5hzpk","1843","1","Koi Yoshinaga","Slow Loop","2","Sun, 05 Feb 2023 21:47:34 GMT","1675633654989","19","","","","No","No","","","9","0","2","375842448209084417","375842448209084417","707706551829397565","13","F","S","S","S","S","F","D","",""
"c5qmvf","1042","1","Nugen","Mobile Suit Gundam: The Witch from Mercury","3","Sun, 05 Feb 2023 20:45:31 GMT","1675629931673","25","","","","No","No","","","1","0","3","375842448209084417","375842448209084417","707706551829397565","15","F","S","S","S","S","F","C","",""
"ckll7v","48445","1","Chigusa Mitama","A Centaur's Life","2","Sun, 05 Feb 2023 10:44:41 GMT","1675593881114","6","","","","No","No","","","1","0","2","375842448209084417","375842448209084417","707706551829397565","4","F","S","S","S","B","F","D","",""
"ckg5dh","4794","2","Gundam Zebra","Mobile Fighter G Gundam","1","Sun, 05 Feb 2023 07:29:51 GMT","1675582191189","10","","","","No","No","","","1","0","1","375842448209084417","375842448209084417","707706551829397565","6","F","S","S","S","A","F","D","",""
"ckn419","48181","1","Abbey Bominable","Monster High: Kowai-ke Girls","3","Sun, 05 Feb 2023 01:48:54 GMT","1675561734847","26","","","","No","No","b","","6","0","3","375842448209084417","375842448209084417","707706551829397565","15","F","S","S","S","A","F","D","",""
"cw7lkw","10362","2","Atsuya Baba","ODDTAXI","1","Sat, 04 Feb 2023 11:16:51 GMT","1675509411944","8","","","","No","No","","","1","0","1","375842448209084417","375842448209084417","707706551829397565","4","F","S","S","S","A","F","D","",""
"ch5dtc","47877","1","Rena","AFTERLOST","2","Wed, 01 Feb 2023 11:13:02 GMT","1675249982154","6","","","","No","No","","","0","0","2","375842448209084417","375842448209084417","707706551829397565","4","F","S","S","S","A","F","D","",""
"cqcq2j","48024","1","Harry","Carino Coni","2","Wed, 01 Feb 2023 00:13:15 GMT","1675210395432","3","","","","No","No","","","1","0","2","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","S","F","D","",""
"cqz0mk","16389","1","Goldeen","Pokémon","1","Tue, 31 Jan 2023 09:47:27 GMT","1675158447091","8","","","","No","No","","","1","0","1","375842448209084417","375842448209084417","707706551829397565","4","F","S","S","S","B","F","D","",""
"cqzq6s","11566","2","Mrs. Toono","Mieruko-chan","1","Tue, 31 Jan 2023 08:32:19 GMT","1675153939823","10","","","","No","No","","","1","0","1","567679805034594304","375842448209084417","707706551829397565","5","F","S","S","F","F","F","D","",""
"cqn4f6","1749","3","Chibi Dragon","Endro~!","0","Tue, 31 Jan 2023 06:54:38 GMT","1675148078908","9","","","","No","No","","","5","0","0","375842448209084417","375842448209084417","707706551829397565","4","F","S","S","S","S","F","D","",""
"c0jcsf","6569","3","Shou Daliuwan","Scissor Seven","4","Mon, 30 Jan 2023 00:54:32 GMT","1675040072658","89","","","","No","No","","","1","0","4","375842448209084417","375842448209084417","707706551829397565","46","F","S","S","S","B","F","D","",""
"c0k1x7","25743","2","Elizabeth","Gintama","3","Sun, 29 Jan 2023 22:15:24 GMT","1675030524172","76","","","","No","No","","","36","0","3","375842448209084417","375842448209084417","707706551829397565","40","F","S","S","S","B","F","D","",""
"cmdnvq","46797","1","Cure Étoile","Hugtto! Precure","1","Sat, 28 Jan 2023 04:53:15 GMT","1674881595637","3","","","","No","No","","","1","0","1","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","A","F","D","",""
"cm3sh7","47869","1","Koume","Koume-chan ga Iku!","3","Fri, 27 Jan 2023 21:50:45 GMT","1674856245772","2","","","","No","No","","","0","0","3","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","A","F","D","",""
"cmq4h9","27229","2","Noir","Persona 5 the Animation","1","Fri, 27 Jan 2023 07:39:44 GMT","1674805184790","21","","","","No","No","","","13","0","1","375842448209084417","375842448209084417","707706551829397565","13","F","S","S","S","A","F","D","",""
"6cggq1","22923","2","Kanako Azumi","Children of the Sea","4","Thu, 26 Jan 2023 18:01:41 GMT","1674756101120","64","","","","No","No","","","1","0","4","375842448209084417","375842448209084417","707706551829397565","36","F","S","S","S","S","F","D","",""
"6c2460","5240","4","Shadow the Hedgehog","Sonic X","2","Thu, 26 Jan 2023 03:14:17 GMT","1674702857943","83","","","","No","No","","","227","0","2","375842448209084417","375842448209084417","707706551829397565","45","F","S","S","S","B","F","D","",""
"663nkx","5969","3","Aki","Sonny Boy","1","Wed, 25 Jan 2023 11:39:01 GMT","1674646741619","13","","","","No","No","","","2","0","1","375842448209084417","375842448209084417","707706551829397565","6","F","S","S","S","S","F","D","",""
"663zfr","21982","2","Tadokoro","Perfect Blue","2","Wed, 25 Jan 2023 10:32:38 GMT","1674642758826","12","","","","No","No","","","1","0","2","375842448209084417","375842448209084417","707706551829397565","6","F","S","S","S","A","F","D","",""
"66p6z5","47887","1","Shi Fen","Ani ni Tsukeru Kusuri wa Nai!","3","Wed, 25 Jan 2023 09:05:46 GMT","1674637546755","15","","","","No","No","","","3","0","3","375842448209084417","375842448209084417","707706551829397565","6","F","S","S","S","B","F","D","",""
"662tdk","3771","3","Mochigon","Ultraman Season 2","0","Tue, 24 Jan 2023 22:11:15 GMT","1674598275234","5","","","","No","No","","","0","0","0","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","A","F","D","",""
"66qrqs","4986","4","Gouki Shibukawa","Baki the Grappler: Maximum Tournament","2","Tue, 24 Jan 2023 21:22:17 GMT","1674595337752","30","","","","No","No","","","2","0","2","375842448209084417","375842448209084417","707706551829397565","18","F","S","S","S","A","F","D","",""
"6xr5j7","14728","1","Snowy","Pokémon Sun & Moon","0","Tue, 24 Jan 2023 04:11:21 GMT","1674533481594","7","","","","No","No","","","7","0","0","375842448209084417","375842448209084417","707706551829397565","4","F","S","S","S","B","F","D","",""
"6s2sj9","11684","3","Kagura Sohma","Fruits Basket","2","Sun, 22 Jan 2023 06:38:51 GMT","1674369531014","39","","","","No","No","","","8","0","2","375842448209084417","375842448209084417","707706551829397565","23","F","S","S","S","A","F","D","",""
"63cfkv","46937","1","Ken'ichi","Hanamaru Kindergarten","2","Tue, 10 Jan 2023 17:32:39 GMT","1673371959251","4","","","","No","No","","","0","0","2","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","B","F","D","",""
"6390c4","4789","4","Mahiru","Princess Connect! Re: Dive","2","Tue, 10 Jan 2023 02:33:26 GMT","1673318006674","40","","","","No","No","","","1","0","2","375842448209084417","375842448209084417","707706551829397565","24","F","S","S","S","S","F","D","",""
"63n3cf","1565","1","Kaori","Miss Shachiku and the Little Baby Ghost","2","Mon, 09 Jan 2023 19:48:01 GMT","1673293681760","16","","","","No","No","","","1","0","2","375842448209084417","375842448209084417","707706551829397565","6","F","S","S","S","B","F","D","",""
"63jh7n","3990","4","Manjusaka","Scissor Seven","1","Mon, 09 Jan 2023 18:42:55 GMT","1673289775625","21","","","","No","No","","","2","0","1","375842448209084417","375842448209084417","707706551829397565","13","F","S","S","S","A","F","D","",""
"6r79s8","10310","2","Tsuchidama","Doraemon: Nobita at the Birth of Japan","2","Mon, 09 Jan 2023 00:36:16 GMT","1673224576221","17","","","","No","No","","","0","0","2","375842448209084417","375842448209084417","707706551829397565","6","F","S","S","S","B","F","D","",""
"6rpffr","11234","3","Daiwa Scarlet","Uma Musume: Pretty Derby","2","Sun, 08 Jan 2023 16:03:13 GMT","1673193793116","33","","","","No","No","","","8","0","2","389229706907484160","375842448209084417","707706551829397565","15","F","S","S","F","D","F","D","",""
"6rpt8z","47081","1","Pinsir","Pokémon Advanced","2","Sun, 08 Jan 2023 15:48:41 GMT","1673192921195","13","","","","No","No","","","1","0","2","375842448209084417","375842448209084417","707706551829397565","6","F","S","S","S","A","F","D","",""
"6pmzh4","46770","1","Surtr","Saint Seiya Omega","3","Fri, 06 Jan 2023 12:02:58 GMT","1673006578148","12","","","","No","No","","","0","0","3","375842448209084417","375842448209084417","707706551829397565","6","F","S","S","S","S","F","D","",""
"64cms3","46356","1","Stunk","Ishuzoku Reviewers","2","Fri, 06 Jan 2023 10:13:18 GMT","1672999998951","11","","","","No","No","","","6","0","2","375842448209084417","375842448209084417","707706551829397565","6","F","S","S","S","S","F","D","",""
"64631v","47223","1","Sumeragi Lee Noriega","Mobile Suit Gundam 00","2","Fri, 06 Jan 2023 08:21:34 GMT","1672993294563","4","","","","No","No","","","1","0","2","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","S","F","D","",""
"6z4ctc","9893","3","Joseph Joestar","JoJo's Bizarre Adventure","1","Wed, 04 Jan 2023 11:05:55 GMT","1672830355252","44","","","","No","No","","","1015","0","1","375842448209084417","375842448209084417","707706551829397565","24","F","S","S","S","S","F","D","",""
"6zzgmm","3967","2","Command Model Laika","Epic Seven","2","Wed, 04 Jan 2023 08:53:50 GMT","1672822430987","40","","","","No","No","","","2","0","2","375842448209084417","375842448209084417","707706551829397565","24","F","S","S","S","A","F","D","",""
"6zvq0r","1135","3","Karl Heisenberg","Resident Evil Village","3","Tue, 03 Jan 2023 17:28:48 GMT","1672766928018","137","","","","No","No","","","119","0","3","375842448209084417","375842448209084417","707706551829397565","78","F","S","S","S","A","F","C","",""
"61p06v","46622","1","Alolan Dugtrio","Pokémon Sun & Moon","1","Mon, 02 Jan 2023 22:01:43 GMT","1672696903052","7","","","","No","No","","","1","0","1","375842448209084417","375842448209084417","707706551829397565","4","F","S","S","S","A","F","D","",""
"6n1qbl","26668","2","Kawa no Kami","Spirited Away","2","Sun, 01 Jan 2023 09:17:04 GMT","1672564624632","29","","","","No","No","","","1","0","2","375842448209084417","375842448209084417","707706551829397565","15","F","S","S","S","A","F","D","",""
"6n5q0z","9968","1","Kei's Mother","Akebi's Sailor Uniform","2","Sun, 01 Jan 2023 05:41:50 GMT","1672551710785","6","","","","No","No","","","0","0","2","","375842448209084417","707706551829397565","4","F","S","S","F","F","F","D","",""
"6nbnhk","46508","1","Maiko Sakura","Between the Sky and Sea","4","Sun, 01 Jan 2023 05:31:21 GMT","1672551081819","23","","","","No","No","","","0","0","4","375842448209084417","375842448209084417","707706551829397565","14","F","S","S","S","B","F","D","",""
"6jnlcr","5081","4","Hinahoho","Magi: The Kingdom of Magic","0","Sat, 31 Dec 2022 00:35:33 GMT","1672446933921","9","","","","No","No","","","2","0","0","375842448209084417","375842448209084417","707706551829397565","4","F","S","S","S","B","F","D","",""
"6bxq7k","46582","1","Miya Tanabe","Katana Maidens: Toji no Miko","0","Fri, 30 Dec 2022 06:00:43 GMT","1672380043052","1","","","","No","No","","","0","0","0","375842448209084417","375842448209084417","707706551829397565","0","F","S","S","S","B","F","D","",""
"6b7wr8","46487","1","Coopy","Million Arthur","3","Fri, 30 Dec 2022 04:10:39 GMT","1672373439352","10","","","","No","No","","","1","0","3","375842448209084417","375842448209084417","707706551829397565","5","F","S","S","S","A","F","D","",""
"6bqdvq","765","2","Mamoru Nikaido","Fuuto PI","3","Thu, 29 Dec 2022 04:43:10 GMT","1672288990183","48","","","","No","No","","","0","0","3","375842448209084417","375842448209084417","707706551829397565","30","F","S","S","S","B","F","B","",""
"6567sg","11161","3","Kakeru Juuouin","King of Prism by Pretty Rhythm","1","Wed, 28 Dec 2022 23:34:06 GMT","1672270446492","9","","","","No","No","","","1","0","1","375842448209084417","375842448209084417","707706551829397565","4","F","S","S","S","S","F","D","",""
"653sj4","26237","2","Shirou Fujimoto","Blue Exorcist","4","Wed, 28 Dec 2022 11:07:44 GMT","1672225664181","150","","","","No","No","","","19","0","4","375842448209084417","375842448209084417","707706551829397565","84","F","S","S","S","A","F","D","",""
"651jc0","25852","2","Natsuki Aoi","Euphoria","2","Wed, 28 Dec 2022 03:36:30 GMT","1672198590727","36","","","","No","No","","","5","0","2","375842448209084417","375842448209084417","707706551829397565","20","F","S","S","S","S","F","D","",""
"6ks5w4","46613","1","Carlton","Pokémon: Black & White: Adventures in Unova and Beyond","1","Tue, 27 Dec 2022 09:21:36 GMT","1672132896823","2","","","","No","No","","","1","0","1","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","A","F","D","",""
"6ktttd","29821","1","Magic Power Detector","Solo Leveling","3","Tue, 27 Dec 2022 07:24:52 GMT","1672125892497","33","","","","No","No","","","1","0","3","375842448209084417","375842448209084417","707706551829397565","18","F","S","S","S","B","F","D","",""
"6kgqnl","46201","1","J von Katz","Mahou Sensei Negima! ~Mou Hitotsu Sekai~ Magical Girl Yue","2","Mon, 26 Dec 2022 23:56:25 GMT","1672098985308","5","","","","No","No","","","1","0","2","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","A","F","D","",""
"6wdgh7","11375","3","Tohru Honda","Fruits Basket","2","Sun, 25 Dec 2022 20:24:56 GMT","1671999896684","76","","","","No","No","","","355","0","2","375842448209084417","375842448209084417","707706551829397565","43","F","S","S","S","S","F","D","",""
"6w4ln3","3488","3","Ena Shinonome","Project SEKAI COLORFUL STAGE! feat. Hatsune Miku","1","Sun, 25 Dec 2022 06:15:05 GMT","1671948905585","34","","","","No","No","","","298","0","1","375842448209084417","375842448209084417","707706551829397565","21","F","S","S","S","S","F","D","",""
"6wj6p4","12598","3","Shougo Haizaki","Kuroko's Basketball 3","3","Sun, 25 Dec 2022 01:57:27 GMT","1671933447700","70","","","","No","No","","","2","0","3","375842448209084417","375842448209084417","707706551829397565","41","F","S","S","S","S","F","D","",""
"6whkv2","4925","4","Kanamori","Heaven's Design Team","3","Sat, 24 Dec 2022 22:54:43 GMT","1671922483478","63","","","","No","No","","","4","0","3","375842448209084417","375842448209084417","707706551829397565","38","F","S","S","S","A","F","D","",""
"62sdqt","926","2","Jean Luc Duvall","Mobile Suit Gundam MS IGLOO: The Hidden One Year War","2","Sat, 24 Dec 2022 13:54:00 GMT","1671890040306","16","","","","No","No","","","0","0","2","375842448209084417","375842448209084417","707706551829397565","9","F","S","S","S","A","F","B","",""
"62d2wc","524","3","Astraia Tor Deikun","Mobile Suit Gundam: The Origin","2","Sat, 24 Dec 2022 10:58:39 GMT","1671879519108","26","","","","No","No","","","0","0","2","375842448209084417","375842448209084417","707706551829397565","18","F","S","S","S","A","F","B","",""
"62tmq8","26026","2","Akira Natsume","EX-ARM","2","Sat, 24 Dec 2022 09:25:47 GMT","1671873947821","18","","","","No","No","","","1","0","2","375842448209084417","375842448209084417","707706551829397565","13","F","S","S","S","A","F","D","",""
"62rdlp","46301","1","Seolla Schweizer","Super Robot Wars: Original Generation","4","Sat, 24 Dec 2022 02:08:16 GMT","1671847696642","18","","","","No","No","","","1","0","4","375842448209084417","375842448209084417","707706551829397565","13","F","S","S","S","A","F","D","",""
"62nh08","46462","1","Tangela","Pokémon: Pikachu's Rescue Adventure","3","Fri, 23 Dec 2022 19:46:11 GMT","1671824771153","29","","","","No","No","","","2","0","3","375842448209084417","375842448209084417","707706551829397565","15","F","S","S","S","S","F","D","",""
"6251dv","46568","1","Hana","Ocha-ken: Chokotto Monogatari","0","Fri, 23 Dec 2022 16:37:32 GMT","1671813452448","1","","","","No","No","","","1","0","0","375842448209084417","375842448209084417","707706551829397565","0","F","S","S","S","S","F","D","",""
"62wdkm","46003","1","Muta","The Cat Returns","0","Fri, 23 Dec 2022 15:44:25 GMT","1671810265534","2","","","","No","No","","","5","0","0","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","S","F","D","",""
"6h7rt4","39514","1","MX83 Askeladd","Soccer Spirits","2","Fri, 23 Dec 2022 00:29:45 GMT","1671755385076","16","","","","No","No","","","1","0","2","375842448209084417","375842448209084417","707706551829397565","6","F","S","S","S","D","F","D","",""
"6h8pfq","1524","1","Allegreo","Vampire in the Garden","2","Thu, 22 Dec 2022 21:02:48 GMT","1671742968353","19","","","","No","No","","","14","0","2","375842448209084417","375842448209084417","707706551829397565","13","F","S","S","S","B","F","D","",""
"6hnzsb","28454","1","Eitaro Oka","Re-Main","0","Thu, 22 Dec 2022 09:31:24 GMT","1671701484600","1","","","","No","No","","","1","0","0","375842448209084417","375842448209084417","707706551829397565","0","F","S","S","S","B","F","D","",""
"6qf7s8","11486","3","Yuri Seo","Closers","3","Wed, 21 Dec 2022 10:56:21 GMT","1671620181919","68","","","","No","No","","","18","0","3","375842448209084417","375842448209084417","707706551829397565","38","F","S","S","S","A","F","D","",""
