"code","number","edition","character","series","quality","obtainedDate","obtainedTimestamp","burnValue","dye.code","dye.name","frame","morphed","trimmed","tag","alias","wishlists","fights","dropQuality","dropper","grabber","guild","worker.effort","worker.style","worker.purity","worker.grabber","worker.dropper","worker.quickness","worker.toughness","worker.vanity","worker.recoveryDate","worker.recoveryTimestamp"
"7plfjw","3376","4","Sung Jin-Woo","Solo Leveling","4","Fri, 17 Mar 2023 06:42:46 GMT","1679035366360","365","","","","No","No","","","6354","0","2","570779072549093399","570779072549093399","844368672985972746","169","F","B","F","F","D","F","B","",""
"vmpqjnv","922","3","Ayame Himuro","Rikei ga Koi ni Ochita no de Shoumei shitemita","2","Fri, 17 Mar 2023 06:21:25 GMT","1679034085267","69","","","","No","No","","","69","0","2","570779072549093399","749817087093899395","844368672985972746","35","F","S","S","F","A","F","D","",""
"vmhc753","49917","1","Kamin","Dragon Ball Heroes","1","Fri, 17 Mar 2023 06:17:29 GMT","1679033849271","4","","","","No","No","","","0","0","1","507297923315531786","507297923315531786","844368672985972746","1","F","S","F","F","A","F","D","",""
"vmwwnz2","49764","1","Sister","Dragon Ball: Goku's Fire Brigade","2","Fri, 17 Mar 2023 06:12:45 GMT","1679033565666","5","","","","No","No","","","0","0","2","507297923315531786","507297923315531786","844368672985972746","1","F","S","F","F","F","F","D","",""
"vmpqt6j","50557","1","Spirit of Relaxed Education","Mainichi Kaasan","2","Fri, 17 Mar 2023 05:51:32 GMT","1679032292006","1","","","","No","No","","","1","0","2","749817087093899395","749817087093899395","844368672985972746","0","F","S","S","S","B","F","D","",""
"vmpmwvg","50160","1","Honda","Astro Boy (1980)","1","Fri, 17 Mar 2023 03:06:14 GMT","1679022374979","1","","","","No","No","","","0","0","1","749817087093899395","749817087093899395","844368672985972746","0","F","S","S","S","A","F","D","",""
"vm4frqc","50200","1","Christine","Mass Effect: Paragon Lost","1","Thu, 16 Mar 2023 19:07:41 GMT","1678993661303","1","","","","No","No","","","0","0","1","749817087093899395","749817087093899395","844368672985972746","0","F","S","S","S","A","F","D","",""
"vm4mm26","32075","1","Adele","Fate/Grand Order","2","Thu, 16 Mar 2023 02:41:17 GMT","1678934477597","21","","","","No","No","","","1","0","2","749817087093899395","749817087093899395","966912124142108672","13","F","S","S","S","B","F","D","",""
"vmwqpwm","50068","1","Cui","Dragon Ball Z","2","Wed, 15 Mar 2023 20:00:49 GMT","1678910449391","11","","","","No","No","","","0","0","2","706796448339197976","570779072549093399","844368672985972746","5","F","S","F","F","B","F","D","",""
"vmzlbbm","50241","1","Gambia","One Piece","2","Wed, 15 Mar 2023 19:59:31 GMT","1678910371325","10","","","","No","No","","","1","0","2","749817087093899395","749817087093899395","844368672985972746","5","F","S","S","S","B","F","D","",""
