"code","number","edition","character","series","quality","obtainedDate","obtainedTimestamp","burnValue","dye.code","dye.name","frame","morphed","trimmed","tag","alias","wishlists","fights","dropQuality","dropper","grabber","guild","worker.effort","worker.style","worker.purity","worker.grabber","worker.dropper","worker.quickness","worker.toughness","worker.vanity","worker.recoveryDate","worker.recoveryTimestamp"
"vm3d68m","50555","1","Soumei Shimizu","Nabari no Ou","4","Mon, 20 Mar 2023 03:32:05 GMT","1679283125410","5","","","","No","No","b","","0","0","4","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","F","F","D","",""
"vm3d4v0","43913","1","Kasumi","Senran Kagura: New Wave","1","Mon, 20 Mar 2023 03:02:42 GMT","1679281362215","12","","","","No","No","","","1","0","1","822990845799170058","375842448209084417","707706551829397565","5","F","S","S","F","F","F","F","",""
"vm3lgxf","12926","2","Marc Antoine-Nicolas de la Motte","The Rose of Versailles","2","Sun, 19 Mar 2023 23:58:58 GMT","1679270338090","11","","","","No","No","b","","1","0","2","375842448209084417","375842448209084417","707706551829397565","5","F","S","S","S","F","F","D","",""
"vm3fgkp","3381","4","Wein Salema Arbalest","The Genius Prince's Guide to Raising a Nation Out of Debt","0","Sun, 19 Mar 2023 23:07:07 GMT","1679267227360","12","","","","No","No","b","","22","0","0","375842448209084417","375842448209084417","707706551829397565","5","F","S","S","S","C","F","D","",""
"vm3rcgb","50544","1","Linne's Mother","Hells Angels","2","Sun, 19 Mar 2023 21:18:26 GMT","1679260706206","3","","","","No","No","b","","0","0","2","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","A","F","D","",""
"vm3rh4d","50723","1","Badger","Bonobono (2016)","2","Sun, 19 Mar 2023 20:00:48 GMT","1679256048543","2","","","","No","No","b","","0","0","2","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","S","F","D","",""
"vm341fc","7253","4","Vlad III","Fate/Apocrypha","0","Sun, 19 Mar 2023 19:28:51 GMT","1679254131658","9","","","","No","No","","","2","0","0","375842448209084417","375842448209084417","707706551829397565","4","F","S","S","S","S","F","D","",""
"vm3zs0g","1220","2","Kyle","Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs","1","Sun, 19 Mar 2023 18:38:56 GMT","1679251136153","16","","","","No","No","b","","0","0","1","375842448209084417","375842448209084417","707706551829397565","8","F","S","S","S","S","F","D","",""
"vm30rdp","50315","1","Waitress","Himouto! Umaru-chan","2","Sun, 19 Mar 2023 10:38:17 GMT","1679222297631","3","","","","No","No","b","","0","0","2","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","F","F","D","",""
"vm3qh18","514","5","Motoko Izumi","Shikimori's Not Just a Cutie","1","Sun, 19 Mar 2023 10:25:18 GMT","1679221518383","42","","","","No","No","","","58","0","1","","375842448209084417","707706551829397565","23","F","S","S","F","A","F","D","",""
"vm3025d","50429","1","May","Pokémon Advanced","2","Sun, 19 Mar 2023 09:57:54 GMT","1679219874054","30","","","","No","No","","","11","0","2","375842448209084417","375842448209084417","707706551829397565","18","F","S","S","S","C","F","D","",""
"vm3mlhp","32692","1","Jirokichi Ebisu","Rurouni Kenshin","3","Sun, 19 Mar 2023 08:11:59 GMT","1679213519333","4","","","","No","No","b","","1","0","3","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","B","F","D","",""
"vmr8nxm","15315","1","Kraureit Roheil","Epic Seven","3","Sun, 19 Mar 2023 00:29:50 GMT","1679185790156","25","","","","No","No","","","3","0","3","375842448209084417","375842448209084417","707706551829397565","14","F","S","S","S","A","F","D","",""
"vmrr57r","9503","2","Leviathan the Alchemist","Gosick","0","Sat, 18 Mar 2023 19:26:54 GMT","1679167614276","4","","","","No","No","b","","1","0","0","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","A","F","D","",""
"vmrzqj5","50289","1","Shin","Aoi and Mutsuki: A Pair of Queens","2","Sat, 18 Mar 2023 17:20:02 GMT","1679160002039","2","","","","No","No","b","","0","0","2","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","A","F","D","",""
"vmpf788","50151","1","Professor Genius","Little Nemo: Adventures in Slumberland","2","Fri, 17 Mar 2023 20:33:15 GMT","1679085195911","1","","","","No","No","b","","0","0","2","375842448209084417","375842448209084417","707706551829397565","0","F","S","S","S","A","F","D","",""
"vmpf2sk","50549","1","Dominic","The Promised Neverland","3","Fri, 17 Mar 2023 19:41:06 GMT","1679082066735","38","","","","No","No","b","","2","0","3","375842448209084417","375842448209084417","707706551829397565","23","F","S","S","S","S","F","D","",""
"vmp3rq9","6926","4","Tatsutagawa Kamiyo","Amazing Stranger","3","Fri, 17 Mar 2023 18:44:47 GMT","1679078687799","55","","","","No","No","b","","0","0","3","375842448209084417","375842448209084417","707706551829397565","30","F","S","S","S","S","F","D","",""
"vmp3bfm","50374","1","Tsugumi Aozora","Asobi Asobase","2","Fri, 17 Mar 2023 17:50:46 GMT","1679075446069","7","","","","No","No","b","","1","0","2","375842448209084417","375842448209084417","707706551829397565","4","F","S","S","S","S","F","D","",""
"vmppq9j","7250","4","Kageyuki Shiraishi","Collar X Malice","4","Fri, 17 Mar 2023 16:31:05 GMT","1679070665122","161","","","","No","No","b","","6","0","4","","375842448209084417","707706551829397565","73","F","S","S","F","F","F","D","",""
"vmpzm38","21237","2","Puka","Pokémon","0","Fri, 17 Mar 2023 15:15:12 GMT","1679066112721","11","","","","No","No","","","4","0","0","389229706907484160","375842448209084417","707706551829397565","5","F","S","S","F","F","F","D","",""
"vmpzgmt","45063","1","Axl Low","Guilty Gear","2","Fri, 17 Mar 2023 14:54:19 GMT","1679064859318","8","","","","No","No","b","","15","0","2","375842448209084417","375842448209084417","707706551829397565","4","F","S","S","S","A","F","D","",""
"vmpq5vj","50079","1","Fire Captain","Garo: Vanishing Line","1","Fri, 17 Mar 2023 05:45:38 GMT","1679031938318","1","","","","No","No","b","","0","0","1","375842448209084417","375842448209084417","707706551829397565","0","F","S","S","S","S","F","D","",""
"vmpvf9g","5533","2","Yukito Kunisaki","Air","1","Fri, 17 Mar 2023 04:53:46 GMT","1679028826792","10","","","","No","No","b","","1","0","1","375842448209084417","375842448209084417","707706551829397565","5","F","S","S","S","C","F","D","",""
"vmpmnnm","5935","4","Elise Angel","Assassins Pride","1","Fri, 17 Mar 2023 03:26:57 GMT","1679023617457","22","","","","No","No","b","","9","0","1","","375842448209084417","707706551829397565","11","F","S","S","F","F","F","D","",""
"vm48zkf","25405","2","Kei Tsushima","MUSICUS!","2","Thu, 16 Mar 2023 21:11:44 GMT","1679001104113","19","","","","No","No","b","","1","0","2","375842448209084417","375842448209084417","707706551829397565","13","F","S","S","S","S","F","D","",""
"vm4l4p5","5217","2","Alma","Seirei Gensouki: Spirit Chronicles","4","Thu, 16 Mar 2023 20:01:11 GMT","1678996871219","125","","","","No","No","b","","2","0","4","375842448209084417","375842448209084417","707706551829397565","66","F","S","S","S","A","F","D","",""
"vm49p2l","24859","2","Black Lactic Acid Bacteria","Cells at Work!!","2","Thu, 16 Mar 2023 19:18:19 GMT","1678994299462","25","","","","No","No","b","","1","0","2","375842448209084417","375842448209084417","707706551829397565","14","F","S","S","S","S","F","D","",""
"vm4gd6f","49790","1","Fox's Mother","Pig: The Dam Keeper Poems","4","Thu, 16 Mar 2023 18:02:23 GMT","1678989743609","15","","","","No","No","","","1","0","4","375842448209084417","375842448209084417","707706551829397565","8","F","S","S","S","A","F","D","",""
"vm4r03d","2159","4","Kakeru Miwa","Shikizakura","2","Thu, 16 Mar 2023 16:54:39 GMT","1678985679762","35","","","","No","No","b","","1","0","2","375842448209084417","375842448209084417","707706551829397565","19","F","S","S","S","B","F","D","",""
"vmzs3vs","34469","1","Raijin","One Piece","3","Wed, 15 Mar 2023 23:54:40 GMT","1678924480882","26","","","","No","No","b","","1","0","3","375842448209084417","375842448209084417","707706551829397565","15","F","S","S","S","A","F","D","",""
"vmzt6sq","50262","1","Kurumi Tokiwa","Battle Girl High School","0","Wed, 15 Mar 2023 22:03:09 GMT","1678917789920","1","","","","No","No","b","","0","0","0","375842448209084417","375842448209084417","707706551829397565","0","F","S","S","S","A","F","D","",""
"vmzfv4l","824","5","Benimaru","That Time I Got Reincarnated as a Slime","0","Wed, 15 Mar 2023 18:57:36 GMT","1678906656589","22","","","","No","No","fs","","190","0","0","375842448209084417","375842448209084417","707706551829397565","14","F","S","S","S","S","F","D","",""
"vmz3mgp","164","5","Taroumaru","School-Live!","4","Wed, 15 Mar 2023 17:22:42 GMT","1678900962908","283","","","","No","No","","","13","0","4","375842448209084417","375842448209084417","707706551829397565","169","F","S","S","S","S","F","C","",""
"vmzpcs9","12548","3","Rossweisse","High School DxD BorN","2","Wed, 15 Mar 2023 16:24:29 GMT","1678897469837","64","","","","No","No","b","","68","0","2","375842448209084417","375842448209084417","707706551829397565","36","F","S","S","S","S","F","D","",""
"vmzr5c4","50080","1","Petruccio","Romeo x Juliet","1","Wed, 15 Mar 2023 15:42:07 GMT","1678894927816","1","","","","No","No","b","","0","0","1","375842448209084417","375842448209084417","707706551829397565","0","F","S","S","S","A","F","D","",""
"vmz1wpg","50006","1","Sanae Shikikagami","Ladies Versus Butlers!","0","Wed, 15 Mar 2023 13:03:11 GMT","1678885391879","1","","","","No","No","b","","1","0","0","375842448209084417","375842448209084417","707706551829397565","0","F","S","S","S","A","F","D","",""
"vmzbpjg","26629","2","Kinoto Masazo","JoJo's Bizarre Adventure: Diamond Is Unbreakable","3","Wed, 15 Mar 2023 10:58:54 GMT","1678877934429","59","","","","No","No","b","","1","0","3","375842448209084417","375842448209084417","707706551829397565","33","F","S","S","S","A","F","D","",""
"vmzbn67","17935","2","Android 21 (Evil)","Dragon Ball FighterZ","1","Wed, 15 Mar 2023 09:41:32 GMT","1678873292885","29","","","","No","No","b","","62","0","1","375842448209084417","375842448209084417","707706551829397565","15","F","S","S","S","S","F","D","",""
"vmzmkvs","24570","2","Luo Xiaohei","The Legend of Hei","0","Wed, 15 Mar 2023 01:27:47 GMT","1678843667709","4","","","","No","No","m","","12","0","0","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","S","F","D","",""
"vm1xpch","50033","1","Abe no Sumiko","Shounen Onmyouji","2","Tue, 14 Mar 2023 22:35:07 GMT","1678833307794","1","","","","No","No","b","","0","0","2","375842448209084417","375842448209084417","707706551829397565","0","F","S","S","S","A","F","D","",""
"vm1sqlp","19001","2","Teru Teru Bozu","Weathering with You","4","Tue, 14 Mar 2023 21:14:28 GMT","1678828468021","141","","","","No","No","chenge","","6","0","4","375842448209084417","375842448209084417","707706551829397565","76","F","S","S","S","A","F","D","",""
"vm17hg5","16388","2","Red Skull","Marvel Disk Wars: The Avengers","2","Tue, 14 Mar 2023 19:45:37 GMT","1678823137579","26","","","","No","No","","","1","0","2","375842448209084417","375842448209084417","707706551829397565","15","F","S","S","S","A","F","D","",""
"vm1t4rs","50175","1","Dr. Fuji's Wife","Pokémon: The Origin of Mewtwo","2","Tue, 14 Mar 2023 18:58:08 GMT","1678820288265","6","","","","No","No","b","","1","0","2","","375842448209084417","707706551829397565","4","F","S","S","F","A","F","D","",""
"vm1tqsc","11596","3","Ashitaka","Princess Mononoke","1","Tue, 14 Mar 2023 18:42:32 GMT","1678819352747","23","","","","No","No","fs","","65","0","1","375842448209084417","375842448209084417","707706551829397565","14","F","S","S","S","B","F","D","",""
"vm1l3tn","25247","2","Grunbeld","Berserk (2017)","3","Tue, 14 Mar 2023 17:52:13 GMT","1678816333019","52","","","","No","No","b","","4","0","3","375842448209084417","375842448209084417","707706551829397565","28","F","S","S","S","A","F","D","",""
