"code","number","edition","character","series","quality","obtainedDate","obtainedTimestamp","burnValue","dye.code","dye.name","frame","morphed","trimmed","tag","alias","wishlists","fights","dropQuality","dropper","grabber","guild","worker.effort","worker.style","worker.purity","worker.grabber","worker.dropper","worker.quickness","worker.toughness","worker.vanity","worker.recoveryDate","worker.recoveryTimestamp"
"vm462jj","50218","1","Rin Azuma","Isekai Cheat Magician","0","Fri, 17 Mar 2023 02:03:34 GMT","1679018614279","2","","","","No","No","1","","1","0","0","833788695030136882","833788695030136882","904361806695366656","1","F","S","S","S","C","F","F","",""
"vm4dp78","50346","1","Oyaji Neko","Space Neko Theater","0","Thu, 16 Mar 2023 22:47:42 GMT","1679006862031","1","","","","No","No","1","","1","0","0","833788695030136882","833788695030136882","904361806695366656","0","F","S","S","S","A","F","D","",""
"vm49zrr","50592","1","Asaka Mayama","ORESUKI: Are you the only one who loves me?","2","Thu, 16 Mar 2023 19:40:35 GMT","1678995635943","13","","","","No","No","1","","7","0","2","833788695030136882","833788695030136882","904361806695366656","6","F","S","S","S","A","F","D","",""
"vm4rxb5","49803","1","Kinkuma","Delinquent Hamsters","2","Thu, 16 Mar 2023 16:29:22 GMT","1678984162617","2","","","","No","No","1","","1","0","2","833788695030136882","833788695030136882","904361806695366656","1","F","S","S","S","A","F","D","",""
"vm4zg58","9152","2","Kururu","Drugstore in Another World: The Slow Life of a Cheat Pharmacist","2","Thu, 16 Mar 2023 14:56:55 GMT","1678978615347","21","","","","No","No","1","","0","0","2","833788695030136882","833788695030136882","904361806695366656","13","F","S","S","S","A","F","D","",""
"vm4z46k","49933","1","Ser","Carino Coni","2","Thu, 16 Mar 2023 14:11:09 GMT","1678975869636","6","","","","No","No","1","","3","0","2","833788695030136882","833788695030136882","904361806695366656","4","F","S","S","S","A","F","D","",""
"vm4n7s4","15389","3","Yoritsune Hanakoji","Sakura Wars: Ouka Kenran","4","Thu, 16 Mar 2023 13:25:34 GMT","1678973134086","61","","","","No","No","1","","1","0","4","833788695030136882","833788695030136882","904361806695366656","34","F","S","S","S","A","F","D","",""
"vm4jdhb","49734","1","Pochi","Hozuki's Coolheadedness OVA 2","3","Thu, 16 Mar 2023 12:03:08 GMT","1678968188432","12","","","","No","No","1","","1","0","3","833788695030136882","833788695030136882","904361806695366656","6","F","S","S","S","A","F","D","",""
"vmz6x7g","2025","1","tateWaki","Log Horizon: Destruction of the Round Table","0","Thu, 16 Mar 2023 02:02:03 GMT","1678932123476","2","","","","No","No","1","","0","0","0","833788695030136882","833788695030136882","904361806695366656","1","F","S","S","S","A","F","D","",""
"vmzdb94","49981","1","Kotsuru Amagami","Yotsuiro Biyori","3","Wed, 15 Mar 2023 22:42:06 GMT","1678920126039","10","","","","No","No","1","","0","0","3","833788695030136882","833788695030136882","904361806695366656","6","F","S","S","S","A","F","D","",""
"vmzfbfx","49902","1","Hayato Hasegawa","Haganai: I Don't Have Many Friends NEXT","2","Wed, 15 Mar 2023 19:45:57 GMT","1678909557227","3","","","","No","No","1","","0","0","2","833788695030136882","833788695030136882","904361806695366656","1","F","S","S","S","A","F","D","",""
"vmzrjsh","5736","1","Terry Ryan","Shenmue the Animation","0","Wed, 15 Mar 2023 16:15:50 GMT","1678896950923","1","","","","No","No","1","","0","0","0","833788695030136882","833788695030136882","904361806695366656","0","F","S","S","S","S","F","D","",""
"vmzpfsr","50155","1","Kana","Junji Ito Collection","1","Wed, 15 Mar 2023 15:36:18 GMT","1678894578398","1","","","","No","No","1","","0","0","1","833788695030136882","833788695030136882","904361806695366656","0","F","S","S","S","A","F","D","",""
"vmzzrsn","18290","1","Corrupted Aigami","Yu-Gi-Oh!: The Dark Side of Dimensions","3","Wed, 15 Mar 2023 13:58:04 GMT","1678888684000","13","","","","No","No","1","","1","0","3","833788695030136882","833788695030136882","904361806695366656","6","F","S","S","S","A","F","D","",""
"vmz1q6d","49961","1","Houkouin","Fuuun Ishin Dai Shogun","2","Wed, 15 Mar 2023 13:20:59 GMT","1678886459495","5","","","","No","No","1","","1","0","2","833788695030136882","833788695030136882","904361806695366656","1","F","S","S","S","A","F","D","",""
"vmzjmz8","28100","2","Kise","Epic Seven","2","Wed, 15 Mar 2023 11:33:53 GMT","1678880033584","33","","","","No","No","1","","10","0","2","833788695030136882","833788695030136882","904361806695366656","19","F","S","S","S","S","F","D","",""
"vmzjwpz","50328","1","Kuehiko Roshihara","Working Buddies!","3","Wed, 15 Mar 2023 10:59:32 GMT","1678877972670","12","","","","No","No","1","","2","0","3","833788695030136882","833788695030136882","904361806695366656","6","F","S","S","S","A","F","D","",""
"vmzk6xh","5228","1","Melord","Mobile Suit Zeta Gundam","2","Wed, 15 Mar 2023 08:18:16 GMT","1678868296647","6","","","","No","No","1","","0","0","2","833788695030136882","833788695030136882","904361806695366656","4","F","S","S","S","A","F","D","",""
"vm1ccdx","50296","1","Saki Morimi","Eden of the East","3","Wed, 15 Mar 2023 01:04:33 GMT","1678842273709","7","","","","No","No","1","","2","0","3","833788695030136882","833788695030136882","904361806695366656","4","F","S","S","S","B","F","D","",""
"vm1c3lj","268","5","Lecia","Granblue Fantasy","2","Wed, 15 Mar 2023 00:07:28 GMT","1678838848319","72","","","","No","No","gaaaaawd","","1","0","2","833788695030136882","833788695030136882","904361806695366656","41","F","S","S","S","S","F","D","",""
"vm1xlt6","148","5","Hideki Nishimura","And you thought there is never a girl online?","2","Tue, 14 Mar 2023 22:46:23 GMT","1678833983389","69","","","","No","No","-mp","","1","0","2","833788695030136882","833788695030136882","904361806695366656","40","F","S","S","S","S","F","D","",""
"vm1x236","49880","1","Shun Tojo","Corrector Yui","3","Tue, 14 Mar 2023 21:37:01 GMT","1678829821145","1","","","","No","No","1","","0","0","3","833788695030136882","833788695030136882","904361806695366656","0","F","S","S","S","A","F","D","",""
